MUNICÍPIO,UF
Brasiléia,AC
Cruzeiro do Sul,AC
Mâncio Lima,AC
Feijó,AC
Rio Branco,AC
Sena Madureira,AC
Tarauacá,AC
Xapuri,AC
Plácido de Castro,AC
Senador Guiomard,AC
Manoel Urbano,AC
Assis Brasil,AC
Acrelândia,AC
Bujari,AC
Capixaba,AC
Porto Acre,AC
Epitaciolândia,AC
Jordão,AC
Marechal Thaumaturgo,AC
Porto Walter,AC
Rodrigues Alves,AC
Santa Rosa do Purus,AC
Campestre,AL
Jequiá da Praia,AL
Teotônio Vilela,AL
Paripueira,AL
Estrela de Alagoas,AL
Pariconha,AL
Água Branca,AL
Anadia,AL
Arapiraca,AL
Atalaia,AL
Barra de Santo Antônio,AL
Barra de São Miguel,AL
Batalha,AL
Belém,AL
Belo Monte,AL
Boca da Mata,AL
Branquinha,AL
Cacimbinhas,AL
Cajueiro,AL
Campo Alegre,AL
Campo Grande,AL
Canapi,AL
Capela,AL
Carneiros,AL
Chã Preta,AL
Coité do Nóia,AL
Colônia Leopoldina,AL
Coqueiro Seco,AL
Coruripe,AL
Delmiro Gouveia,AL
Dois Riachos,AL
Feira Grande,AL
Feliz Deserto,AL
Flexeiras,AL
Girau do Ponciano,AL
Ibateguara,AL
Igaci,AL
Igreja Nova,AL
Inhapi,AL
Jacaré dos Homens,AL
Jacuípe,AL
Japaratinga,AL
Jaramataia,AL
Joaquim Gomes,AL
Jundiá,AL
Junqueiro,AL
Lagoa da Canoa,AL
Limoeiro de Anadia,AL
Maceió,AL
Major Isidoro,AL
Maragogi,AL
Maravilha,AL
Marechal Deodoro,AL
Maribondo,AL
Mar Vermelho,AL
Mata Grande,AL
Matriz de Camaragibe,AL
Messias,AL
Minador do Negrão,AL
Monteirópolis,AL
Murici,AL
Novo Lino,AL
Olho d'Água das Flores,AL
Olho d'Água do Casado,AL
Olho d'Água Grande,AL
Olivença,AL
Ouro Branco,AL
Palestina,AL
Palmeira dos Índios,AL
Pão de Açúcar,AL
Passo de Camaragibe,AL
Paulo Jacinto,AL
Penedo,AL
Piaçabuçu,AL
Pilar,AL
Pindoba,AL
Piranhas,AL
Poço das Trincheiras,AL
Porto Calvo,AL
Porto de Pedras,AL
Porto Real do Colégio,AL
Quebrangulo,AL
Rio Largo,AL
Roteiro,AL
Santa Luzia do Norte,AL
Santana do Ipanema,AL
Santana do Mundaú,AL
São Brás,AL
São José da Laje,AL
São José da Tapera,AL
São Luís do Quitunde,AL
São Miguel dos Campos,AL
São Miguel dos Milagres,AL
São Sebastião,AL
Satuba,AL
Tanque d'Arca,AL
Taquarana,AL
Traipu,AL
União dos Palmares,AL
Viçosa,AL
Craíbas,AL
Senador Rui Palmeira,AL
Novo Airão,AM
Anori,AM
Atalaia do Norte,AM
Autazes,AM
Barcelos,AM
Barreirinha,AM
Benjamin Constant,AM
Boca do Acre,AM
Borba,AM
Canutama,AM
Carauari,AM
Careiro,AM
Coari,AM
Codajás,AM
Eirunepé,AM
Envira,AM
Fonte Boa,AM
Humaitá,AM
Santa Isabel do Rio Negro,AM
Ipixuna,AM
Itacoatiara,AM
Itapiranga,AM
Japurá,AM
Juruá,AM
Jutaí,AM
Lábrea,AM
Manacapuru,AM
Manaus,AM
Manicoré,AM
Maraã,AM
Maués,AM
Nhamundá,AM
Nova Olinda do Norte,AM
Novo Aripuanã,AM
Parintins,AM
Pauini,AM
Santo Antônio do Içá,AM
São Paulo de Olivença,AM
Silves,AM
Tapauá,AM
Tefé,AM
São Gabriel da Cachoeira,AM
Urucará,AM
Urucurituba,AM
Alvarães,AM
Amaturá,AM
Anamã,AM
Beruri,AM
Boa Vista do Ramos,AM
Caapiranga,AM
Careiro da Várzea,AM
Guajará,AM
Apuí,AM
Iranduba,AM
Itamarati,AM
Manaquiri,AM
Presidente Figueiredo,AM
Rio Preto da Eva,AM
São Sebastião do Uatumã,AM
Tabatinga,AM
Uarini,AM
Tonantins,AM
Vitória do Jari,AP
Amapá,AP
Calçoene,AP
Macapá,AP
Mazagão,AP
Oiapoque,AP
Ferreira Gomes,AP
Laranjal do Jari,AP
Santana,AP
Tartarugalzinho,AP
Pedra Branca do Amapari,AP
Serra do Navio,AP
Cutias,AP
Itaubal,AP
Porto Grande,AP
Pracuúba,AP
Muquém do São Francisco,BA
Nova Fátima,BA
Nova Ibiá,BA
Nova Redenção,BA
Novo Horizonte,BA
Novo Triunfo,BA
Ourolândia,BA
Piraí do Norte,BA
Ponto Novo,BA
Presidente Tancredo Neves,BA
Quixabeira,BA
Ribeirão do Largo,BA
São Domingos,BA
São Félix do Coribe,BA
São José do Jacuípe,BA
São José da Vitória,BA
Saubara,BA
Serra do Ramalho,BA
Sítio do Mato,BA
